population,unemployed,shape,year,district,districtNumber,foreigners,births
61423,2079.8,gesamt,2006,Schwabing - Freimann,12,14288,542
65999.3,4089,gesamt,2006,Milbertshofen - Am Hart,11,23355,658
102266.8,6015,gesamt,2006,Ramersdorf - Perlach,16,27689,957
36713.8,1786.5,gesamt,2006,Sendling,6,9518,434
50276.4,2495.5,gesamt,2006,Sendling - Westpark,7,11746,462
25914.1,1487.8,gesamt,2006,Schwanthalerhöhe,8,9393,272
37681.8,1557,gesamt,2006,Aubing - Lochhausen - Langwied,22,7018,324
27659.2,673.3,gesamt,2006,Allach-Untermenzing,23,4498,256
63306.5,1865.8,gesamt,2006,Pasing,21,10900,666
44661.3,1871.3,gesamt,2006,Hadern,2,9218,413
44661.3,1875.8,gesamt,2006,Hadern,2,9218,413
45002.6,1871.3,gesamt,2006,Ludwigsvorstadt-Isarvorstadt,10,9218,503
45002.6,1875.8,gesamt,2006,Ludwigsvorstadt-Isarvorstadt,10,9218,503
49569.6,2211.8,gesamt,2006,Laim,25,10715,454
52451.4,1517.8,gesamt,2006,Trudering-Riem,15,8723,626
38748.1,2033.8,gesamt,2006,Berg am Laim,14,10125,384
18800.8,421.3,gesamt,2006,Altstadt-Lehel,1,4154,174
18800.8,2338.5,gesamt,2006,Altstadt-Lehel,1,4154,174
47543.3,421.3,gesamt,2006,Moosach,1,4154,480
47543.3,2338.5,gesamt,2006,Moosach,1,4154,480
44382.3,1443.3,gesamt,2006,Maxvorstadt,3,10838,425
83650.3,2902.3,gesamt,2006,Neuhausen-Nymphenburg,9,18016,852
53577.3,1976,gesamt,2006,Au-Haidhausen,5,12367,594
74864.7,1984.8,gesamt,2006,Bogenhausen,13,13419,772
44661.3,1871.3,gesamt,2006,Hadern,2,12797,413
44661.3,1875.8,gesamt,2006,Hadern,2,12797,413
45002.6,1871.3,gesamt,2006,Ludwigsvorstadt-Isarvorstadt,10,12797,503
45002.6,1875.8,gesamt,2006,Ludwigsvorstadt-Isarvorstadt,10,12797,503
57940.5,1701.5,gesamt,2006,Schwabing-West,4,12323,595
47611.7,1814.3,gesamt,2006,Untergiesing - Harlaching,18,9337,442
53975.8,2897,gesamt,2006,Feldmoching-Hasenbergl,24,13927,502
46238.1,2183.5,gesamt,2006,Obergiesing - Fasangarten,17,12914,496
79940.2,2322,gesamt,2006,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,19,15219,744
18800.8,421.3,gesamt,2006,Altstadt-Lehel,1,11942,174
18800.8,2338.5,gesamt,2006,Altstadt-Lehel,1,11942,174
47543.3,421.3,gesamt,2006,Moosach,1,11942,480
47543.3,2338.5,gesamt,2006,Moosach,1,11942,480
81536,2320.3,gesamt,2007,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,19,15849,776
50388.3,2141.3,gesamt,2007,Laim,25,11010,450
76111.5,1922.5,gesamt,2007,Bogenhausen,13,13892,778
46103.2,1726.8,gesamt,2007,Ludwigsvorstadt-Isarvorstadt,10,9744,517
46103.2,1899,gesamt,2007,Ludwigsvorstadt-Isarvorstadt,10,9744,517
45468.1,1726.8,gesamt,2007,Hadern,2,9744,407
45468.1,1899,gesamt,2007,Hadern,2,9744,407
55357.4,1667,gesamt,2007,Trudering-Riem,15,9223,670
48491.3,1758.8,gesamt,2007,Untergiesing - Harlaching,18,9659,484
51319.1,2511.8,gesamt,2007,Sendling - Westpark,7,11830,496
37586.7,1753.3,gesamt,2007,Sendling,6,9732,440
47357.2,2185.8,gesamt,2007,Obergiesing - Fasangarten,17,13153,500
26427.7,1446.3,gesamt,2007,Schwanthalerhöhe,8,9491,314
37940.1,1488,gesamt,2007,Aubing - Lochhausen - Langwied,22,7082,336
28027.5,672.5,gesamt,2007,Allach-Untermenzing,23,4540,259
67535.5,3945.3,gesamt,2007,Milbertshofen - Am Hart,11,23903,667
48050.6,2422,gesamt,2007,Moosach,1,12192,474
48050.6,374.3,gesamt,2007,Moosach,1,12192,474
19072.8,2422,gesamt,2007,Altstadt-Lehel,1,12192,200
19072.8,374.3,gesamt,2007,Altstadt-Lehel,1,12192,200
46813.4,1369.3,gesamt,2007,Maxvorstadt,3,11111,459
