algIIRate,population,unemployed,shape,year,district,districtNumber,foreignerPercent,foreigners,birthRate,births
4.6,61423,2079.8,gesamt,2006,Schwabing-Freimann,12,22.9,14288,8.8,542
8.7,65999.3,4089,gesamt,2006,Milbertshofen-Am Hart,11,34.9,23355,10,658
8.7,102266.8,6015,gesamt,2006,Ramersdorf-Perlach,16,27,27689,9.4,957
6.6,36713.8,1786.5,gesamt,2006,Sendling,6,25.6,9518,11.8,434
7.1,50276.4,2495.5,gesamt,2006,Sendling-Westpark,7,23.1,11746,9.2,462
7.6,25914.1,1487.8,gesamt,2006,Schwanthalerhoehe,8,36,9393,10.5,272
6.4,37681.8,1557,gesamt,2006,Aubing-Lochhausen-Langwied,22,18.5,7018,8.6,324
3.7,27659.2,673.3,gesamt,2006,Allach-Untermenzing,23,16.2,4498,9.3,256
4.4,63306.5,1865.8,gesamt,2006,Pasing-Obermenzing,21,17.1,10900,10.5,666
6.4,49569.6,2211.8,gesamt,2006,Laim,25,21.4,10715,9.2,454
4.2,52451.4,1517.8,gesamt,2006,Trudering-Riem,15,16.2,8723,11.9,626
7.5,38748.1,2033.8,gesamt,2006,Berg am Laim,14,26,10125,9.9,384
4,44382.3,1443.3,gesamt,2006,Maxvorstadt,3,23.5,10838,9.6,425
4.8,83650.3,2902.3,gesamt,2006,Neuhausen-Nymphenburg,9,21.3,18016,10.2,852
4.9,53577.3,1976,gesamt,2006,Au-Haidhausen,5,22.7,12367,11.1,594
3.8,74864.7,1984.8,gesamt,2006,Bogenhausen,13,17.7,13419,10.3,772
4,57940.5,1701.5,gesamt,2006,Schwabing-West,4,20.7,12323,10.3,595
5.5,47611.7,1814.3,gesamt,2006,Untergiesing-Harlaching,18,19.4,9337,9.3,442
8.2,53975.8,2897,gesamt,2006,Feldmoching-Hasenbergl,24,25.7,13927,9.3,502
6.5,46238.1,2183.5,gesamt,2006,Obergiesing-Fasangarten,17,27.5,12914,10.7,496
4.4,79940.2,2322,gesamt,2006,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,19,18.9,15219,9.3,744
4.3,81536,2320.3,gesamt,2007,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,19,19.3,15849,9.5,776
6.1,50388.3,2141.3,gesamt,2007,Laim,25,21.8,11010,8.9,450
3.7,76111.5,1922.5,gesamt,2007,Bogenhausen,13,18.1,13892,10.2,778
4.4,55357.4,1667,gesamt,2007,Trudering-Riem,15,16.3,9223,12.1,670
5.3,48491.3,1758.8,gesamt,2007,Untergiesing-Harlaching,18,19.7,9659,10,484
7,51319.1,2511.8,gesamt,2007,Sendling-Westpark,7,22.9,11830,9.7,496
6.3,37586.7,1753.3,gesamt,2007,Sendling,6,25.7,9732,11.7,440
6.4,47357.2,2185.8,gesamt,2007,Obergiesing-Fasangarten,17,27.5,13153,10.6,500
7.2,26427.7,1446.3,gesamt,2007,Schwanthalerhoehe,8,35.3,9491,11.9,314
6.1,37940.1,1488,gesamt,2007,Aubing-Lochhausen-Langwied,22,18.6,7082,8.9,336
3.7,28027.5,672.5,gesamt,2007,Allach-Untermenzing,23,16.1,4540,9.2,259
8.2,67535.5,3945.3,gesamt,2007,Milbertshofen-Am Hart,11,35.2,23903,9.9,667
3.6,46813.4,1369.3,gesamt,2007,Maxvorstadt,3,23.3,11111,9.8,459
7.3,39358.4,2013.5,gesamt,2007,Berg am Laim,14,26.4,10521,10.5,413
4.2,64345,1806.8,gesamt,2007,Pasing-Obermenzing,21,17.1,11067,10.5,677
4.3,63029.9,2025.5,gesamt,2007,Schwabing-Freimann,12,22.8,14542,9.7,612
4.4,85296,2702.8,gesamt,2007,Neuhausen-Nymphenburg,9,21.1,18118,10.5,898
8.7,103251.7,6093.8,gesamt,2007,Ramersdorf-Perlach,16,27.1,28005,9.8,1008
3.6,60747.5,1636.8,gesamt,2007,Schwabing-West,4,20.6,12653,10.4,634
4.5,54878.7,1861.5,gesamt,2007,Au-Haidhausen,5,22.2,12247,11.5,633
8.1,54868.6,2901.5,gesamt,2007,Feldmoching-Hasenbergl,24,26.4,14642,10,548
8,67710.9,3831.3,gesamt,2008,Milbertshofen-Am Hart,11,35.3,24105,9.5,642
4.1,82444,2229.3,gesamt,2008,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,19,19.3,15964,9.7,802
3.6,76878.8,1873.8,gesamt,2008,Bogenhausen,13,18.3,14097,10.7,825
6.1,47996.1,2124.5,gesamt,2008,Obergiesing-Fasangarten,17,27.7,13394,10.6,511
6,38082.3,1685.5,gesamt,2008,Sendling,6,25.4,9730,13.4,509
6.9,27376.1,1427.3,gesamt,2008,Schwanthalerhoehe,8,35.3,9819,11.5,316
5.6,38169.5,1366.5,gesamt,2008,Aubing-Lochhausen-Langwied,22,18.8,7213,9.1,348
3.4,28539.2,642.8,gesamt,2008,Allach-Untermenzing,23,16.1,4646,9.8,280
6.8,39870.1,1906.5,gesamt,2008,Berg am Laim,14,26.8,10746,10.5,419
3.3,62070.2,1505,gesamt,2008,Schwabing-West,4,20.2,12635,11.4,707
